trail_name,length,difficulty,trail_link,longitude,latitude,city,popularity,rating,local_club,local_club_site,land_manager,land_manager_site,tot_climb,tot_descent,ave_grade,max_grade,max_elevation,min_elevation,dog_policy,e_bike_policy
Hog Heaven,1.1,DIFFICULT,https://www.mtbproject.com/trail/7000537/hog-heaven,34.837921,-111.75732,Sedona,0.989528796,4.5,Verde Valley Cyclists Coalition,https://www.mtbproject.com/club/4920204/verde-valley-cyclists-coalition,USFS - Coconino National Forest Office,http://www.fs.usda.gov/coconino,116,233,6,27,4565,4366,Unknown,Unknown
Llama Trail,2.9,INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/4923530/llama-trail,34.80534,-111.761794,Village of Oak Creek (Big Park),0.988481675,4.2,Verde Valley Cyclists Coalition,https://www.mtbproject.com/club/4920204/verde-valley-cyclists-coalition,USFS - Coconino National Forest Office,http://www.fs.usda.gov/coconino,206,268,3,13,4448,4318,Unknown,Unknown
Sport Loop,3,INTERMEDIATE,https://www.mtbproject.com/trail/5121292/sport-loop,33.669202,-111.702101,Fountain Hills,0.987434555,4.5,,,,,198,200,3,5,1780,1620,Unknown,Allowed
Templeton Trail,3.4,INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/594263/templeton-trail,34.808976,-111.764812,Village of Oak Creek (Big Park),0.986387435,4,Verde Valley Cyclists Coalition,https://www.mtbproject.com/club/4920204/verde-valley-cyclists-coalition,USFS - Coconino National Forest Office,http://www.fs.usda.gov/coconino,84,400,3,21,4296,3976,Unknown,Unknown
Adobe Jack,2,INTERMEDIATE,https://www.mtbproject.com/trail/4920585/adobe-jack,34.885891,-111.782006,Sedona,0.985340314,4,Verde Valley Cyclists Coalition,https://www.mtbproject.com/club/4920204/verde-valley-cyclists-coalition,USFS - Coconino National Forest Office,http://www.fs.usda.gov/coconino,109,240,3,10,4494,4341,Unknown,Unknown
Bunny Loop,4.5,EASY,https://www.mtbproject.com/trail/7001452/bunny-loop,32.119256,-110.78917,Vail,0.984293194,4,,,,,77,82,1,3,2920,2871,Unknown,Unknown
Cockscomb,3.6,INTERMEDIATE,https://www.mtbproject.com/trail/1015685/cockscomb,34.885633,-111.86996,West Sedona,0.983246073,4.4,Verde Valley Cyclists Coalition,https://www.mtbproject.com/club/4920204/verde-valley-cyclists-coalition,USFS - Coconino National Forest Office,http://www.fs.usda.gov/coconino,296,280,3,12,4648,4511,Unknown,Not Allowed
Hangover Trail,3.2,VERY DIFFICULT,https://www.mtbproject.com/trail/4941561/hangover-trail,34.87766,-111.716833,Sedona,0.982198953,4.9,,,,,244,753,6,36,5224,4673,Unknown,Unknown
Broken Arrow Trail,1.5,DIFFICULT,https://www.mtbproject.com/trail/4915610/broken-arrow-trail,34.84536,-111.756602,Sedona,0.981151832,4.4,Verde Valley Cyclists Coalition,https://www.mtbproject.com/club/4920204/verde-valley-cyclists-coalition,USFS - Coconino National Forest Office,http://www.fs.usda.gov/coconino,350,64,5,20,4618,4282,Unknown,Unknown
Aerie,2.9,INTERMEDIATE,https://www.mtbproject.com/trail/1015551/aerie,34.907634,-111.849101,West Sedona,0.980104712,4.5,Verde Valley Cyclists Coalition,https://www.mtbproject.com/club/4920204/verde-valley-cyclists-coalition,USFS - Coconino National Forest Office,http://www.fs.usda.gov/coconino,262,223,3,12,4727,4524,Unknown,Unknown
National Trail,13.8,DIFFICULT,https://www.mtbproject.com/trail/7020562/national-trail,33.330335,-112.144162,Laveen,0.979057592,4.8,,,,,1961,1729,5,35,2465,1259,Leashed,Allowed
High on the Hog,0.3,DIFFICULT,https://www.mtbproject.com/trail/7000535/high-on-the-hog,34.834876,-111.753601,Sedona,0.978010471,4.4,Verde Valley Cyclists Coalition,https://www.mtbproject.com/club/4920204/verde-valley-cyclists-coalition,USFS - Coconino National Forest Office,http://www.fs.usda.gov/coconino,29,96,7,18,4587,4491,Unknown,Unknown
Pigtail,0.6,DIFFICULT,https://www.mtbproject.com/trail/4916526/pigtail,34.837493,-111.771451,Sedona,0.976963351,4.7,Verde Valley Cyclists Coalition,https://www.mtbproject.com/club/4920204/verde-valley-cyclists-coalition,USFS - Coconino National Forest Office,http://www.fs.usda.gov/coconino,45,137,6,11,4379,4242,Unknown,Unknown
Arizona Trail (Aspen Corner to FR 418),7,INTERMEDIATE,https://www.mtbproject.com/trail/937006/arizona-trail-aspen-corner-to-fr-418,35.322299,-111.720525,Flagstaff,0.97591623,4.7,USFS - Coconino National Forest Office,http://www.fs.usda.gov/coconino,,,291,857,3,9,9014,8280,Leashed,Unknown
Sidewinder Trail,7.1,INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/6429777/sidewinder-trail,33.797847,-112.085197,Anthem,0.97486911,4.1,,,,,683,806,4,16,2082,1739,Leashed,Unknown
Sonoran Loop Competitive Track - Outer Loop,7.1,INTERMEDIATE,https://www.mtbproject.com/trail/7001277/sonoran-loop-competitive-track-outer-loop,33.60881,-112.50091,Citrus Park,0.97382199,4.2,,,,,518,520,3,15,1720,1491,Leashed,Allowed
Long Loop,8,INTERMEDIATE,https://www.mtbproject.com/trail/5121460/long-loop,33.667027,-111.69902,Fountain Hills,0.972774869,4,,,,,457,450,2,10,1751,1560,Unknown,Allowed
Schultz Creek Trail,4.2,INTERMEDIATE,https://www.mtbproject.com/trail/833543/schultz-creek-trail,35.244833,-111.66138,Flagstaff,0.971727749,4.3,Flagstaff Biking Organization,https://www.mtbproject.com/club/910893/flagstaff-biking-organization,USFS - Coconino National Forest Office,http://www.fs.usda.gov/coconino,873,1,4,14,8071,7198,Unknown,Unknown
Little Horse Trail,1.5,INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/4915693/little-horse-trail,34.829368,-111.754554,Sedona,0.970680628,4.1,Verde Valley Cyclists Coalition,https://www.mtbproject.com/club/4920204/verde-valley-cyclists-coalition,USFS - Coconino National Forest Office,http://www.fs.usda.gov/coconino,22,349,5,12,4569,4225,Unknown,Not Allowed
Hog Wash Trail,1.3,DIFFICULT,https://www.mtbproject.com/trail/7013468/hog-wash-trail,34.839565,-111.767921,Sedona,0.969633508,4.1,Verde Valley Cyclists Coalition,https://www.mtbproject.com/club/4920204/verde-valley-cyclists-coalition,USFS - Coconino National Forest Office,http://www.fs.usda.gov/coconino,90,138,3,15,4403,4311,Unknown,Unknown
Geronimo Trail,1.9,DIFFICULT,https://www.mtbproject.com/trail/4865778/geronimo-trail,33.343252,-112.044332,Guadalupe,0.968586387,4.9,City of Phoenix - Trails and Desert Preserves,http://phoenix.gov/recreation/rec/parks/preserves/index.html,,,0,1026,10,31,2328,1302,Unknown,Allowed
Canyon of Fools,1.2,INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/7011194/canyon-of-fools,34.905446,-111.839355,West Sedona,0.967539267,4.4,Verde Valley Cyclists Coalition,https://www.mtbproject.com/club/4920204/verde-valley-cyclists-coalition,USFS - Coconino National Forest Office,http://www.fs.usda.gov/coconino,78,256,5,13,4641,4463,Unknown,Unknown
Hawknest Trail,11.6,EASY/INTERMEDIATE,https://www.mtbproject.com/trail/7009302/hawknest-trail,33.806805,-111.787135,Carefree,0.966492147,4.5,City of Scottsdale,http://www.scottsdaleaz.gov/preserve,,,362,662,2,5,2957,2388,Leashed,Not Allowed
Sunset,4.7,DIFFICULT,https://www.mtbproject.com/trail/978181/sunset,35.284697,-111.631475,Flagstaff,0.965445026,4.6,Flagstaff Biking Organization,https://www.mtbproject.com/club/910893/flagstaff-biking-organization,USFS - Coconino National Forest Office,http://www.fs.usda.gov/coconino,1488,486,8,50,9140,8058,Unknown,Unknown
Technical Loop,2.7,DIFFICULT,https://www.mtbproject.com/trail/5121383/technical-loop,33.669015,-111.701921,Fountain Hills,0.964397906,4.4,,,,,273,285,4,11,1816,1618,No Dogs,Allowed
Grand Central,1.8,INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/4920687/grand-central,34.867231,-111.76872,Sedona,0.963350785,4.3,Verde Valley Cyclists Coalition,https://www.mtbproject.com/club/4920204/verde-valley-cyclists-coalition,USFS - Coconino National Forest Office,http://www.fs.usda.gov/coconino,400,188,6,21,4642,4242,Unknown,Unknown
Cathedral Rock Connector Trail,0.3,DIFFICULT,https://www.mtbproject.com/trail/4933774/cathedral-rock-connector-trail,34.821153,-111.78895,West Sedona,0.962303665,4.7,,,,,0,107,7,23,4153,4045,Unknown,Unknown
Rail X Ranch / Honeybee Canyon Loop,13.7,INTERMEDIATE,https://www.mtbproject.com/trail/7012708/rail-x-ranch-honeybee-canyon-loop,32.475746,-110.960497,Catalina,0.961256545,4.4,,,,,729,725,2,9,3660,3061,Unknown,Unknown
TRW Trail,2,EASY/INTERMEDIATE,https://www.mtbproject.com/trail/7022869/trw-trail,33.502995,-111.684153,Fountain Hills,0.960209424,4.5,USFS - Tonto National Forest Office,http://www.fs.usda.gov/tonto/,,,76,161,2,6,1508,1362,Unknown,Unknown
Upper 50-Year Trail,1,DIFFICULT,https://www.mtbproject.com/trail/7017453/upper-50-year-trail,32.501221,-110.859652,Catalina,0.959162304,4.8,Sonoran Desert Mountain Bicyclists,https://www.mtbproject.com/club/112648/sonoran-desert-mountain-bicyclists,,,90,308,7,24,3611,3320,Off-leash,Unknown
La Milagrosa,4.4,DIFFICULT,https://www.mtbproject.com/trail/306975/la-milagrosa,32.324856,-110.668805,Tanque Verde,0.958115183,4.3,Tucson Off Road Cyclists & Activists (TORCA),https://www.mtbproject.com/club/7000193/tucson-off-road-cyclists-activists-torca,USFS - Coronado National Forest Office,http://www.fs.usda.gov/coronado,213,1381,7,23,4029,2809,Leashed,Not Allowed
Baldwin Loop,2.1,INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/600453/baldwin-loop,34.822517,-111.799667,West Sedona,0.957068063,3.8,Verde Valley Cyclists Coalition,https://www.mtbproject.com/club/4920204/verde-valley-cyclists-coalition,USFS - Coconino National Forest Office,http://www.fs.usda.gov/coconino,245,236,4,16,4126,3959,Unknown,Unknown
Badlands Trail,6.7,INTERMEDIATE,https://www.mtbproject.com/trail/7007557/badlands-trail,32.528302,-111.007497,Catalina,0.956020942,4.4,,,,,318,307,2,6,3736,3546,Unknown,Unknown
South Loop,3.4,EASY/INTERMEDIATE,https://www.mtbproject.com/trail/7041928/south-loop,32.024979,-110.563073,Mescal,0.954973822,4.4,,,,,188,249,2,7,3887,3764,No Dogs,Unknown
Horton Creek Trail,3.5,INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/7017424/horton-creek-trail,34.339907,-111.09616,Star Valley,0.953926702,5,,,,,1214,9,7,29,6646,5436,Off-leash,Unknown
Granite Mountain Loop Trail,4.6,INTERMEDIATE,https://www.mtbproject.com/trail/7012695/granite-mountain-loop-trail,33.770058,-111.798436,Rio Verde,0.952879581,4.5,City of Scottsdale,http://www.scottsdaleaz.gov/preserve,,,356,305,3,8,2935,2670,Unknown,Not Allowed
Made in the Shade,1.3,DIFFICULT,https://www.mtbproject.com/trail/4932620/made-in-the-shade,34.80087,-111.770076,Village of Oak Creek (Big Park),0.951832461,3.8,Verde Valley Cyclists Coalition,https://www.mtbproject.com/club/4920204/verde-valley-cyclists-coalition,USFS - Coconino National Forest Office,http://www.fs.usda.gov/coconino,166,305,7,18,4540,4259,Unknown,Unknown
Goldwater Lakes Trail #396,4.6,INTERMEDIATE,https://www.mtbproject.com/trail/4422817/goldwater-lakes-trail-396,34.505589,-112.478075,Prescott,0.95078534,4.1,Prescott Mountain Bike Alliance,https://www.mtbproject.com/club/31782/prescott-mountain-bike-alliance,USFS - Prescott National Forest Office,http://www.fs.usda.gov/prescott/,872,338,5,12,6164,5630,Unknown,Unknown
Firewater Trail #325,1.1,INTERMEDIATE,https://www.mtbproject.com/trail/7018140/firewater-trail-325,34.558724,-112.526305,Prescott,0.94973822,5,Prescott Mountain Bike Alliance,https://www.mtbproject.com/club/31782/prescott-mountain-bike-alliance,USFS - Prescott National Forest Office,http://www.fs.usda.gov/prescott/,0,244,4,10,5911,5667,Unknown,Unknown
The Chutes,1.4,INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/4743176/the-chutes,32.494076,-110.867719,Catalina,0.948691099,4.1,Sonoran Desert Mountain Bicyclists,https://www.mtbproject.com/club/112648/sonoran-desert-mountain-bicyclists,AZ State Land Department,http://www.azland.gov/,160,163,4,9,3289,3127,Unknown,Unknown
Bell Rock Trail,3.5,EASY/INTERMEDIATE,https://www.mtbproject.com/trail/4915849/bell-rock-trail,34.824361,-111.775475,Village of Oak Creek (Big Park),0.947643979,3.5,Verde Valley Cyclists Coalition,https://www.mtbproject.com/club/4920204/verde-valley-cyclists-coalition,USFS - Coconino National Forest Office,http://www.fs.usda.gov/coconino,200,297,3,6,4386,4173,Unknown,Unknown
Secret Trail,0.9,INTERMEDIATE,https://www.mtbproject.com/trail/3589571/secret-trail,33.334756,-112.026761,Guadalupe,0.946596859,4.4,City of Phoenix - Trails and Desert Preserves,http://phoenix.gov/recreation/rec/parks/preserves/index.html,,,21,97,3,7,1523,1431,Unknown,Allowed
Ranch Trail #62,9.5,INTERMEDIATE,https://www.mtbproject.com/trail/7000300/ranch-trail-62,34.495069,-112.439276,Prescott,0.945549738,4.7,Prescott Mountain Bike Alliance,https://www.mtbproject.com/club/31782/prescott-mountain-bike-alliance,USFS - Prescott National Forest Office,http://www.fs.usda.gov/prescott/,592,1164,3,13,6556,5603,Unknown,Unknown
Inner Basin Trail,1.7,INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/7000138/inner-basin-trail,35.346285,-111.639219,Flagstaff,0.944502618,5,Flagstaff Biking Organization,https://www.mtbproject.com/club/910893/flagstaff-biking-organization,USFS - Coconino National Forest Office,http://www.fs.usda.gov/coconino,0,718,8,21,9373,8654,Unknown,Unknown
Peavine Trail,5.4,EASY,https://www.mtbproject.com/trail/7001406/peavine-trail,34.575456,-112.42732,Prescott,0.943455497,4.5,Prescott Mountain Bike Alliance,https://www.mtbproject.com/club/31782/prescott-mountain-bike-alliance,,,46,252,1,3,5204,4986,Leashed,Unknown
Los Burros Shortcut,2,INTERMEDIATE,https://www.mtbproject.com/trail/7016114/los-burros-shortcut,34.137776,-109.74787,Pinetop-Lakeside,0.942408377,5,Pinetop-Lakeside TRACKS,https://www.mtbproject.com/club/1027178/pinetop-lakeside-tracks,USFS - Apache & Sitgreaves National Forests Office,http://www.fs.usda.gov/asnf,47,356,4,17,8161,7851,Unknown,Unknown
Cherum Peak Trail,2.6,DIFFICULT,https://www.mtbproject.com/trail/7014529/cherum-peak-trail,35.415637,-114.150271,New Kingman-Butler,0.941361257,5,,,,,1100,169,9,26,6915,5858,Unknown,Allowed
#305 Homestead Trail,6.6,INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/4417144/305-homestead-trail,34.540197,-112.3979,Prescott,0.940314136,4.1,Prescott Mountain Bike Alliance,https://www.mtbproject.com/club/31782/prescott-mountain-bike-alliance,USFS - Prescott National Forest Office,http://www.fs.usda.gov/prescott/,978,506,4,16,6056,5473,Unknown,Unknown
Ocotillo Trail,6.3,INTERMEDIATE,https://www.mtbproject.com/trail/7011741/ocotillo-trail,33.768669,-112.043964,Cave Creek,0.939267016,4.1,,,,,448,322,2,10,1919,1701,Leashed,Unknown
Javelina,1.3,INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/4920153/javelina,34.881352,-111.771011,Sedona,0.938219895,4.2,Verde Valley Cyclists Coalition,https://www.mtbproject.com/club/4920204/verde-valley-cyclists-coalition,USFS - Coconino National Forest Office,http://www.fs.usda.gov/coconino,32,333,6,14,4542,4241,Unknown,Unknown
Molino Basin,2.5,INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/305799/molino-basin,32.336052,-110.719919,Tanque Verde,0.937172775,4,Tucson Off Road Cyclists & Activists (TORCA),https://www.mtbproject.com/club/7000193/tucson-off-road-cyclists-activists-torca,USFS - Coronado National Forest Office,http://www.fs.usda.gov/coronado,169,676,6,25,4913,4320,Unknown,Unknown
Burro Pit Loop,2.4,INTERMEDIATE,https://www.mtbproject.com/trail/7056286/burro-pit-loop,32.155867,-110.778121,Tanque Verde,0.936125654,5,,,,,66,98,1,7,2832,2801,Unknown,Not Allowed
Ridge Trail #59,1.9,INTERMEDIATE,https://www.mtbproject.com/trail/666198/ridge-trail-59,33.50247,-111.665054,Fountain Hills,0.935078534,4.4,USFS - Tonto National Forest Office,http://www.fs.usda.gov/tonto/,,,70,377,4,10,1739,1373,Unknown,Unknown
Latigo Trail,2,EASY,https://www.mtbproject.com/trail/7009162/latigo-trail,33.758176,-111.843289,Carefree,0.934031414,4.8,City of Scottsdale,http://www.scottsdaleaz.gov/preserve,,,107,133,2,7,2837,2706,Leashed,Not Allowed
Quartz Trail,1.4,INTERMEDIATE,https://www.mtbproject.com/trail/647570/quartz-trail,33.837425,-111.986247,Cave Creek,0.932984293,4.8,,,,,70,299,5,9,2407,2114,Unknown,Allowed
Soldier's Trail,5.2,INTERMEDIATE,https://www.mtbproject.com/trail/7016899/soldiers-trail,35.139736,-111.687791,Kachina Village,0.931937173,3.8,Coconino County and the City of Flagstaff,http://www.flagstaff.az.gov/index.aspx?NID=1379,,,306,310,2,8,7129,6955,Unknown,Unknown
Badger Trail,3.3,DIFFICULT,https://www.mtbproject.com/trail/926183/badger-trail,35.225397,-114.129097,Golden Valley,0.930890052,4.7,Colorado River Area Trail Alliance,https://www.mtbproject.com/club/4044379/colorado-river-area-trail-alliance,BLM Arizona - Kingman Field Office,http://www.blm.gov/az/st/en/fo/kingman_field_office.html,1042,4,6,11,4485,3446,Unknown,Unknown
Dixie Mountain Loop,4,INTERMEDIATE,https://www.mtbproject.com/trail/4905656/dixie-mountain-loop,33.744881,-112.092994,Anthem,0.929842932,4.5,Cave Creek Bicycle Association,https://www.mtbproject.com/club/31765/cave-creek-bicycle-association,City of Phoenix - Trails and Desert Preserves,http://phoenix.gov/recreation/rec/parks/preserves/index.html,543,540,5,18,2047,1654,Leashed,Unknown
Explorer Trail,4.7,DIFFICULT,https://www.mtbproject.com/trail/6358612/explorer-trail,32.182587,-111.015653,Drexel Heights,0.928795812,4,Sonoran Desert Mountain Bicyclists,https://www.mtbproject.com/club/112648/sonoran-desert-mountain-bicyclists,"Pima County - Natural Resources, Parks and Recreation",http://webcms.pima.gov/government/natural_resources_parks_and_recreation/,671,408,4,19,2968,2497,Unknown,Unknown
Ridgeback Trail,1.8,INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/6425835/ridgeback-trail,33.782654,-112.059577,Cave Creek,0.927748691,4.6,Cave Creek Bicycle Association,https://www.mtbproject.com/club/31765/cave-creek-bicycle-association,City of Phoenix - Trails and Desert Preserves,http://phoenix.gov/recreation/rec/parks/preserves/index.html,278,329,6,21,2110,1812,Unknown,Unknown
Sierra Prieta Trail #366,0.9,INTERMEDIATE,https://www.mtbproject.com/trail/7011265/sierra-prieta-trail-366,34.504878,-112.555644,Prescott,0.926701571,5,USFS - Prescott National Forest Office,http://www.fs.usda.gov/prescott/,,,52,170,5,13,7007,6837,Leashed,Unknown
Hi Top,1.1,DIFFICULT,https://www.mtbproject.com/trail/7025115/hi-top,32.765461,-114.46434,Fortuna Foothills,0.92565445,5,Desert Mountain Bikers of Yuma,https://www.mtbproject.com/club/7000176/desert-mountain-bikers-of-yuma,BLM Arizona - Yuma Field Office,http://www.blm.gov/az/st/en/prog/recreation/hiking/betty_kitch.html,84,56,2,10,527,473,Unknown,Unknown
Naked Man Trail,0.6,INTERMEDIATE,https://www.mtbproject.com/trail/7015618/naked-man-trail,34.436293,-114.258086,Lake Havasu City,0.92460733,5,BLM Lake Havasu Field Office,http://www.blm.gov/az/st/en/fo/lake_havasu_field.html,,,38,56,3,6,852,798,Off-leash,Unknown
AZT: Segment 7 - Antelope Peak and Boulders Segment,43.9,INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/7025879/azt-segment-7-antelope-peak-and-boulders-segment,32.631914,-110.7397,Oracle,0.923560209,5,Arizona Trail Association,http://www.aztrail.org/,,,4450,5177,4,23,4211,2793,Leashed,Unknown
Jordan Trail,1.6,INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/4920426/jordan-trail,34.884602,-111.764714,Sedona,0.922513089,4,Verde Valley Cyclists Coalition,https://www.mtbproject.com/club/4920204/verde-valley-cyclists-coalition,USFS - Coconino National Forest Office,http://www.fs.usda.gov/coconino,174,197,4,11,4583,4445,Unknown,Unknown
Yuma Bike Path (Colorado River Levee Multi-use Path),8.6,EASY,https://www.mtbproject.com/trail/7053977/yuma-bike-path-colorado-river-levee-multi-use-path,32.717413,-114.598871,Yuma,0.921465969,5,,,,,107,112,0,4,161,121,Leashed,Allowed
#9415 Wolverton Mountain Trail,5,INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/4437869/9415-wolverton-mountain-trail,34.505611,-112.478982,Prescott,0.920418848,4.5,Prescott Mountain Bike Alliance,https://www.mtbproject.com/club/31782/prescott-mountain-bike-alliance,USFS - Prescott National Forest Office,http://www.fs.usda.gov/prescott/,1117,235,5,14,6685,5620,Unknown,Unknown
Donahue Trail #27,0.7,INTERMEDIATE,https://www.mtbproject.com/trail/7017543/donahue-trail-27,34.374309,-111.443171,Pine,0.919371728,5,Rim Country Mountain Biking Association,https://www.mtbproject.com/club/7000249/rim-country-mountain-biking-association,USFS - Tonto National Forest Office,http://www.fs.usda.gov/tonto/,169,2,4,11,5548,5381,Unknown,Unknown
Clubhouse Trail,0.9,EASY,https://www.mtbproject.com/trail/7052371/clubhouse-trail,33.689206,-111.991206,Cave Creek,0.918324607,5,,,,,57,2,1,3,1669,1614,Leashed,Allowed
Ledge-n-airy,0.8,INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/7051890/ledge-n-airy,34.849127,-111.849425,West Sedona,0.917277487,5,,,,,204,2,5,16,4393,4191,Unknown,Unknown
Flat Rock Trail,0.5,INTERMEDIATE,https://www.mtbproject.com/trail/7032773/flat-rock-trail,33.834813,-111.976662,Cave Creek,0.916230366,5,Maricopa County Parks,http://www.maricopa.gov/parks/,,,145,1,5,12,2292,2149,Unknown,Allowed
Happy Ending,0.3,DIFFICULT,https://www.mtbproject.com/trail/7041131/happy-ending,34.575782,-112.543104,Prescott,0.915183246,5,Prescott Mountain Bike Alliance,https://www.mtbproject.com/club/31782/prescott-mountain-bike-alliance,USFS - Prescott National Forest Office,http://www.fs.usda.gov/prescott/,5,55,3,6,5750,5700,Leashed,Unknown
FS Road #217,12.8,INTERMEDIATE,https://www.mtbproject.com/trail/7025742/fs-road-217,31.468313,-111.267227,Rio Rico,0.914136126,5,,,,,1475,1628,5,18,4528,3561,Unknown,Unknown
Floaty McZebratail,1.2,INTERMEDIATE,https://www.mtbproject.com/trail/7057115/floaty-mczebratail,32.384085,-112.899088,Ajo,0.913089005,5,BLM - Lower Sonoran Field Office,https://www.blm.gov/office/lower-sonoran-field-office,,,2,146,2,4,1823,1679,Unknown,Unknown
360 Vista,1.1,DIFFICULT,https://www.mtbproject.com/trail/7011526/360-vista,32.172893,-111.044103,Drexel Heights,0.912041885,4.8,Sonoran Desert Mountain Bicyclists,https://www.mtbproject.com/club/112648/sonoran-desert-mountain-bicyclists,"Pima County - Natural Resources, Parks and Recreation",http://webcms.pima.gov/government/natural_resources_parks_and_recreation/,104,183,5,12,2834,2651,Unknown,Unknown
East Butte Trail,2.7,INTERMEDIATE,https://www.mtbproject.com/trail/7013030/east-butte-trail,32.806695,-111.697457,Casa Grande,0.910994764,5,Casa Grande Parks & Recreation,http://www.casagrandeaz.gov/rec/parks/,,,262,291,4,12,1697,1508,Unknown,Unknown
Powerlines Trail,0.7,EASY,https://www.mtbproject.com/trail/7052366/powerlines-trail,33.689558,-111.996434,Cave Creek,0.909947644,5,,,,,31,0,1,1,1636,1605,Leashed,Unknown
Sonny's Trail,1.1,INTERMEDIATE,https://www.mtbproject.com/trail/7015599/sonnys-trail,34.439545,-114.257691,Lake Havasu City,0.908900524,5,BLM Lake Havasu Field Office,http://www.blm.gov/az/st/en/fo/lake_havasu_field.html,,,32,215,4,32,885,681,Off-leash,Unknown
