trail_name,length,difficulty,city,popularity,rating,local_club,tot_climb,tot_descent,ave_grade,max_grade,max_elevation,min_elevation,dog_policy,e_bike_policy
big chief,3.7,INTERMEDIATE,"Moab, UT",0.967672414,4.8,Dead Horse Point State Park,199,138,2,9,6020,5928,No Dogs,Allowed
lava flow,1.8,INTERMEDIATE/DIFFICULT,"Cedar City, UT",0.966594828,4.6,Trail Alliance of Southern Utah (TASU),41,507,6,13,6530,6029,Leashed,Unknown
bobsled,1.5,DIFFICULT,"Salt Lake City, UT",0.965517241,4.3,,39,879,11,24,5791,4932,Unknown,Unknown
providence canyon,2.8,INTERMEDIATE/DIFFICULT,"Providence, UT",0.964439655,4.8,"USFS - Uinta, Wasatch & Cache National Forests Office",1115,0,8,14,6261,5146,Unknown,Unknown
more cowbell,2.7,EASY/INTERMEDIATE,"Hurricane, UT",0.963362069,4.6,,176,221,3,11,4296,4207,Off-leash,Unknown
south rim trail,5.5,DIFFICULT,"Hurricane, UT",0.962284483,4.7,Trail Alliance of Southern Utah (TASU),340,133,2,10,5401,5142,Unknown,Unknown
prospector,7.2,INTERMEDIATE,"Washington, UT",0.961206897,4.1,Trail Alliance of Southern Utah (TASU),291,443,2,13,3346,3100,Unknown,Unknown
mid mountain trail,21.9,INTERMEDIATE,"Snyderville, UT",0.96012931,4.3,Mountain Trails Foundation,1753,1952,3,21,8491,7859,Unknown,Unknown
goodwater rim trail,14.6,INTERMEDIATE,"Ferron, UT",0.959051724,4.6,,773,860,2,29,6244,5988,Unknown,Unknown
stump hollow,5.3,INTERMEDIATE/DIFFICULT,"Richmond, UT",0.957974138,4.9,"USFS - Uinta, Wasatch & Cache National Forests Office",1524,244,6,15,8387,6948,Unknown,Unknown
suicidal tendencies,4,DIFFICULT,"Santa Clara, UT",0.956896552,4.5,BLM Utah - St. George Field Office,617,534,5,15,4041,3442,Unknown,Unknown
lichen it,2.8,INTERMEDIATE,"Cedar City, UT",0.955818966,4.5,,487,2,3,13,6490,6005,Unknown,Unknown
falcon flow,5.5,INTERMEDIATE,"Moab, UT",0.954741379,4.7,,247,1003,4,16,5865,5101,Leashed,Not Allowed
gold bar rim,3.6,VERY DIFFICULT,"Moab, UT",0.953663793,4.1,,82,547,3,11,5484,5007,Leashed,Unknown
chisholm trail,7.6,INTERMEDIATE,"Moab, UT",0.952586207,4.1,Moab Trail Mix,627,278,2,11,5990,5473,Leashed,Not Allowed
levitate downhill,1.3,DIFFICULT,"Alpine, UT",0.951508621,4.6,,0,539,8,27,6214,5675,No Dogs,Allowed
west loop,8.9,DIFFICULT,"Hurricane, UT",0.950431034,4.9,,653,684,3,24,5830,5556,Off-leash,Unknown
big lonely,3.2,INTERMEDIATE,"Moab, UT",0.949353448,4,,54,289,2,16,5607,5365,Leashed,Not Allowed
mega steps,3.2,INTERMEDIATE/DIFFICULT,"Moab, UT",0.948275862,4.1,Moab Trail Mix,668,179,5,22,5256,4715,Leashed,Unknown
armstrong,4,INTERMEDIATE,"Park City, UT",0.947198276,4.3,Mountain Trails Foundation,1259,1,6,13,8221,6963,Unknown,Unknown
mustang loop,3.1,INTERMEDIATE,"Moab, UT",0.94612069,4.3,Moab Trail Mix,323,324,4,10,5980,5693,Leashed,Not Allowed
rockin' a,1.6,INTERMEDIATE,"Moab, UT",0.945043103,3.9,,134,13,2,9,4766,4632,No Dogs,Not Allowed
barrel roll,5.6,INTERMEDIATE/DIFFICULT,"Santa Clara, UT",0.943965517,4.1,Trail Alliance of Southern Utah (TASU),459,463,3,15,3451,3156,Unknown,Unknown
western rim,6.1,INTERMEDIATE,"Moab, UT",0.942887931,4.7,Moab Trail Mix,204,660,3,12,4880,4425,Leashed,Unknown
pinecone,3.8,INTERMEDIATE,"Park City, UT",0.941810345,4.7,Mountain Trails Foundation,1393,23,7,22,9809,8416,Unknown,Unknown
paradise rim trail,1.2,DIFFICULT,"Santa Clara, UT",0.940732759,4.4,BLM Utah - St. George Field Office,10,279,4,15,3313,3036,Off-leash,Unknown
barrel trail,2.4,DIFFICULT,"Santa Clara, UT",0.939655172,4.4,,142,695,7,20,3327,2774,Off-leash,Unknown
sidewinder,1.7,INTERMEDIATE/DIFFICULT,"Santa Clara, UT",0.938577586,4.4,,389,54,5,13,3646,3288,Unknown,Unknown
maple hollow downhill trail,1.9,DIFFICULT,"Draper, UT",0.9375,4.5,,0,1010,10,26,6149,5138,No Dogs,Allowed
slickrock trail,7.4,DIFFICULT,"Moab, UT",0.936422414,4.5,,550,600,3,21,4771,4466,Leashed,Allowed
mill creek pipeline,7.3,INTERMEDIATE,"Mount Olympus, UT",0.935344828,3.6,,813,147,3,15,6638,5965,Off-leash,Unknown
secret sauce,2.5,EASY/INTERMEDIATE,"Washington, UT",0.934267241,4.1,Trail Alliance of Southern Utah (TASU),233,184,3,7,2946,2722,Unknown,Unknown
coney island,3.1,INTERMEDIATE,"Moab, UT",0.933189655,3.9,,564,94,4,12,5605,5134,Leashed,Not Allowed
bartlett wash slickrock,2.6,INTERMEDIATE/DIFFICULT,"Moab, UT",0.932112069,4.4,,354,202,4,21,4993,4656,No Dogs,Unknown
ez,1.5,INTERMEDIATE,"Moab, UT",0.931034483,4.1,,118,30,2,10,4668,4581,Leashed,Not Allowed
north rim trail,1.8,DIFFICULT,"Hurricane, UT",0.929956897,4.5,Trail Alliance of Southern Utah (TASU),15,165,2,3,5355,5205,Unknown,Unknown
hidden canyon,1.8,DIFFICULT,"Hurricane, UT",0.92887931,4.7,Trail Alliance of Southern Utah (TASU),61,115,2,7,5329,5240,Unknown,Unknown
great pyramid,2.2,INTERMEDIATE,"Moab, UT",0.927801724,4.5,Dead Horse Point State Park,197,127,3,11,5975,5829,No Dogs,Not Allowed
brim trail,6.9,INTERMEDIATE,"Wolf Creek, UT",0.925646552,4.4,,506,506,3,12,8604,8255,Unknown,Unknown
bowls and ledges,0.9,DIFFICULT,"Hurricane, UT",0.924568966,4.6,Trail Alliance of Southern Utah (TASU),2,61,1,2,5222,5161,Unknown,Unknown
pothole arch,1.9,INTERMEDIATE/DIFFICULT,"Moab, UT",0.923491379,4.2,Moab Trails Alliance,50,321,4,14,4873,4567,Leashed,Not Allowed
blowhard trail #32047,7,DIFFICULT,"Cedar City, UT",0.922413793,4.8,Trail Alliance of Southern Utah (TASU),292,3320,10,37,10659,7599,Unknown,Unknown
whirlwind loop,2.4,INTERMEDIATE,"Moab, UT",0.921336207,4.5,Moab Trail Mix,239,242,4,14,5723,5529,Leashed,Not Allowed
pushing tin loop,3.9,INTERMEDIATE,"Washington, UT",0.920258621,4,Trail Alliance of Southern Utah (TASU),221,266,2,10,2870,2720,Leashed,Unknown
7-up,9.8,INTERMEDIATE,"Moab, UT",0.919181034,3.6,Moab Trail Mix,462,1366,4,14,5796,4827,Leashed,Not Allowed
burro pass trail #315,3,DIFFICULT,"Moab, UT",0.918103448,4.8,,678,1500,14,36,11132,9649,Leashed,Not Allowed
claim jumper loop,2.9,INTERMEDIATE,"Washington, UT",0.917025862,4.4,Trail Alliance of Southern Utah (TASU),280,85,2,8,2916,2714,Unknown,Unknown
greens lake trail,2.5,INTERMEDIATE,"Cedar City, UT",0.915948276,4.7,,59,491,4,12,6977,6497,Unknown,Unknown
redhot,0.6,INTERMEDIATE,"Moab, UT",0.91487069,4.3,,1,131,4,7,4593,4462,Leashed,Not Allowed
ufo,1.6,INTERMEDIATE/DIFFICULT,"Moab, UT",0.913793103,4.4,Moab Trail Mix,221,222,5,24,5055,4930,Leashed,Unknown
arth's corner,3.1,INTERMEDIATE,"Moab, UT",0.912715517,4.1,Moab Trail Mix,43,481,3,16,5130,4687,Leashed,Not Allowed
ann's trail,5.6,INTERMEDIATE,"Alpine, UT",0.911637931,3.9,"City of Draper, UT - Parks and Trails",369,797,4,10,5845,5416,Leashed,Allowed
homer,0.8,INTERMEDIATE/DIFFICULT,"Moab, UT",0.910560345,4.3,Moab Trail Mix,3,238,6,13,4956,4722,Leashed,Unknown
jackson,2.3,VERY DIFFICULT,"Moab, UT",0.909482759,4.2,,30,646,5,28,4586,3966,Leashed,Not Allowed
j-boy,2.6,DIFFICULT,"Vernal, UT",0.908405172,4.8,NUMB (Northeastern Utah Mountain Bikers),301,309,4,14,6038,5855,Unknown,Unknown
kentucky lucky chicken,3.8,DIFFICULT,"Saint George, UT",0.907327586,4.1,Trail Alliance of Southern Utah (TASU),330,335,3,14,3091,2795,Off-leash,Unknown
whiptail,2.8,INTERMEDIATE,"Moab, UT",0.90625,4.8,Dead Horse Point State Park,76,112,1,5,5964,5872,No Dogs,Allowed
tidal wave,2.9,INTERMEDIATE/DIFFICULT,"Park City, UT",0.905172414,5,,11,1138,8,28,9260,8134,Unknown,Unknown
jimmy keen,7.6,INTERMEDIATE,"Moab, UT",0.904094828,2.9,,265,815,3,12,8331,7698,Leashed,Not Allowed
ekg,5.2,DIFFICULT,"Moab, UT",0.903017241,3.7,Moab Trail Mix,370,553,3,8,4850,4642,Leashed,Not Allowed
prickly,2.2,INTERMEDIATE,"Moab, UT",0.901939655,4.4,Dead Horse Point State Park,138,129,2,6,5913,5836,No Dogs,Allowed
paradox trail,124.3,DIFFICULT,"Moab, UT",0.900862069,5,,13195,11342,4,33,9909,4788,Unknown,Allowed
lost world,0.8,INTERMEDIATE,"Enoch, UT",0.899784483,4.9,Trail Alliance of Southern Utah (TASU),12,100,3,7,5932,5841,Unknown,Unknown
rockstacker,1.6,VERY DIFFICULT,"Moab, UT",0.898706897,4.2,Moab Trail Mix,139,247,5,20,4634,4491,Leashed,Not Allowed
guacamole,2.2,INTERMEDIATE/DIFFICULT,"Springdale, UT",0.89762931,4.2,Trail Alliance of Southern Utah (TASU),121,112,2,7,4604,4511,Off-leash,Unknown
old juniper trail,5,INTERMEDIATE,"Hyde Park, UT",0.896551724,4.5,"USFS - Uinta, Wasatch & Cache National Forests Office",1828,62,7,16,7238,5411,Unknown,Unknown
flying dog,6.4,INTERMEDIATE,"Summit Park, UT",0.895474138,4.5,Basin Recreation,1027,959,6,21,7770,6836,Unknown,Unknown
spiro trail,3.4,INTERMEDIATE,"Park City, UT",0.894396552,4.2,Mountain Trails Foundation,1330,15,8,17,8257,6943,Unknown,Unknown
mormon pioneer trail,10.8,INTERMEDIATE,"Summit Park, UT",0.893318966,3.9,,1648,1554,6,24,7423,5843,No Dogs,Unknown
jazz-chrome molly,5.8,INTERMEDIATE,"Vernal, UT",0.892241379,4.6,,602,704,4,15,6087,5725,Off-leash,Unknown
glenwild loop,6.1,INTERMEDIATE,"Snyderville, UT",0.891163793,4,Basin Recreation,795,795,5,17,7119,6427,Off-leash,Unknown
windmill trail,1.3,INTERMEDIATE/DIFFICULT,"Hurricane, UT",0.890086207,4.6,Trail Alliance of Southern Utah (TASU),0,115,2,3,5181,5067,Unknown,Unknown
hazard county,3.1,DIFFICULT,"Moab, UT",0.889008621,4.2,,166,1197,8,44,9507,8312,Leashed,Not Allowed
jacob's ladder,1.5,DIFFICULT,"Alpine, UT",0.887931034,4.6,,0,887,11,23,6620,5733,No Dogs,Unknown
eagle eye,2.3,INTERMEDIATE,"Moab, UT",0.886853448,5,,13,753,6,15,7268,6528,Leashed,Not Allowed
ghost falls trail,1.6,INTERMEDIATE,"Draper, UT",0.885775862,4.3,,9,604,7,15,5725,5129,No Dogs,Allowed
north point loop,4.1,DIFFICULT,"Hurricane, UT",0.884698276,4.7,,484,491,4,34,5625,5369,Off-leash,Unknown
lazy,1.5,EASY/INTERMEDIATE,"Moab, UT",0.88362069,4,,80,148,3,6,4715,4600,Leashed,Not Allowed
the dropout,0.8,INTERMEDIATE/DIFFICULT,"Summit Park, UT",0.882543103,4.5,,0,311,7,14,6733,6423,No Dogs,Not Allowed
twisted tree,1.5,INTERMEDIATE,"Moab, UT",0.881465517,4.5,Dead Horse Point State Park,46,126,2,7,5935,5845,No Dogs,Allowed
practice loop,1.6,EASY/INTERMEDIATE,"Enoch, UT",0.880387931,4.6,Trail Alliance of Southern Utah (TASU),96,94,2,6,5848,5752,Off-leash,Unknown
white rock loop,7.8,INTERMEDIATE,"Syracuse, UT",0.879310345,4,Utah State Parks,575,579,3,11,4765,4246,Leashed,Allowed
mendon bench non-motorized trail,2.7,INTERMEDIATE,"Mendon, UT",0.878232759,4.4,,312,275,4,11,5499,5360,Unknown,Unknown
wild rose loop,1.8,INTERMEDIATE,"North Salt Lake, UT",0.877155172,4.2,"City of North Salt Lake, UT - Parks and Recreation",333,285,6,14,5546,5218,Unknown,Unknown
earl's trail,0.7,INTERMEDIATE,"Enoch, UT",0.876077586,5,Trail Alliance of Southern Utah (TASU),94,7,3,11,6137,6050,Unknown,Unknown
somewhere elks,1,INTERMEDIATE,"Snyderville, UT",0.875,4.8,Mountain Trails Foundation,18,352,7,15,7136,6784,Off-leash,Unknown
desolation trail #19 (non wilderness section),3.2,INTERMEDIATE/DIFFICULT,"Alta, UT",0.873922414,5,"USFS - Uinta, Wasatch & Cache National Forests Office",1254,457,10,25,9548,8295,No Dogs,Unknown
crossroads,1.6,EASY,"Moab, UT",0.872844828,4.2,Dead Horse Point State Park,35,132,2,7,6001,5887,No Dogs,Allowed
cutler's twist,1.4,INTERMEDIATE,"Liberty, UT",0.871767241,5,"Weber County Government, Ogden, UT - Parks",45,343,5,29,6079,5742,Leashed,Allowed
big mountain trail,5.7,DIFFICULT,"Alta, UT",0.870689655,4.4,,1,2376,8,26,10834,8460,No Dogs,Unknown
blue loop,1.4,INTERMEDIATE/DIFFICULT,"Fruit Heights, UT",0.869612069,4.6,,168,171,5,13,4847,4676,Unknown,Unknown
downhill track,0.2,DIFFICULT,"Logan, UT",0.868534483,5,,1,4,1,1,4487,4484,Leashed,Not Allowed
main medium loop,0.2,INTERMEDIATE,"Logan, UT",0.867456897,5,"Logan City, UT - Parks and Recreation",1,1,0,1,4487,4485,Leashed,Not Allowed
west upper trail,1.1,VERY DIFFICULT,"Maeser, UT",0.86637931,5,BLM Utah - Vernal Office,0,552,10,16,7698,7146,Unknown,Unknown
main large loop,0.2,DIFFICULT,"Logan, UT",0.865301724,5,"Logan City, UT - Parks and Recreation",1,1,0,1,4486,4485,Leashed,Not Allowed
trail 365,2,EASY/INTERMEDIATE,"Liberty, UT",0.864224138,4.8,,286,197,5,18,5809,5547,Leashed,Allowed
corvair,1.4,DIFFICULT,"Park City, UT",0.863146552,4.7,Mountain Trails Foundation,0,420,6,13,8849,8429,Unknown,Unknown
raven roll,1.7,EASY,"Moab, UT",0.862068966,4.2,Moab Trails Alliance,33,118,2,6,6004,5901,No Dogs,Allowed
boulder dash,0.7,VERY DIFFICULT,"Cedar City, UT",0.860991379,4.7,,288,58,10,22,6801,6513,Unknown,Unknown
perry canyon trail (grizzly peak),9.7,DIFFICULT,"Perry, UT",0.859913793,5,,4401,156,9,32,8759,4514,Unknown,Unknown
virgin river rim trail: strawberry point to cascade falls,10.9,INTERMEDIATE/DIFFICULT,"Springdale, UT",0.858836207,5,USFS - Dixie National Forest Office,1952,1283,6,23,9576,8414,Unknown,Unknown
long canyon road,7.7,INTERMEDIATE/DIFFICULT,"Moab, UT",0.857758621,5,,60,2200,6,21,6109,3969,Unknown,Unknown
blue lake trail #172,3.4,INTERMEDIATE,"Beaver, UT",0.856681034,5,,0,1444,8,21,11108,9665,Off-leash,Unknown
tushar ridge #176,3.9,INTERMEDIATE,"Junction, UT",0.855603448,4.8,USFS - Fishlake National Forest Office,283,1443,8,34,10171,8866,Off-leash,Unknown
roller coaster,0.7,INTERMEDIATE,"Moab, UT",0.854525862,4.1,,26,105,4,7,4460,4381,Leashed,Not Allowed
paradise canyon,3,INTERMEDIATE/DIFFICULT,"Parowan, UT",0.853448276,5,Trail Alliance of Southern Utah (TASU),14,1599,10,36,10617,9033,Unknown,Unknown
beginner trail,3.7,INTERMEDIATE,"Kamas, UT",0.85237069,5,,905,229,6,13,7423,6519,Off-leash,Unknown
blt,1.2,INTERMEDIATE,"Snyderville, UT",0.851293103,5,,257,63,5,12,6986,6729,Unknown,Not Allowed
virgin river rim trail: cascade falls to te-ah campground,6.9,INTERMEDIATE,"Parowan, UT",0.850215517,5,USFS - Dixie National Forest Office,443,853,4,19,9763,9173,Unknown,Unknown
radke,1.5,DIFFICULT,"Kamas, UT",0.849137931,5,,0,690,9,17,7195,6506,Off-leash,Unknown
white dog,0.4,EASY,"Alpine, UT",0.848060345,5,,0,75,4,12,5394,5318,Unknown,Unknown
no worries,2.2,EASY/INTERMEDIATE,"Summit Park, UT",0.846982759,5,,36,803,7,27,7665,6898,Unknown,Not Allowed
fs road 1674,1.3,DIFFICULT,"Escalante, UT",0.845905172,5,,432,0,6,13,8060,7628,,Unknown
tanner hollow - big john #058,2,DIFFICULT,"Beaver, UT",0.844827586,5,,665,338,10,20,10157,9519,Off-leash,Unknown
snow gauging trail,1.4,DIFFICULT,"Cedar Hills, UT",0.84375,5,"USFS - Uinta, Wasatch & Cache National Forests Office",1,642,9,26,8161,7519,Unknown,Unknown
sheepherder hill trail #99 (stump jumper),4.7,DIFFICULT,"Elk Ridge, UT",0.842672414,5,"USFS - Uinta, Wasatch & Cache National Forests Office",1153,248,6,17,8031,7126,Off-leash,Allowed
south fork dry fork,2.8,DIFFICULT,"Maeser, UT",0.841594828,5,USFS - Ashley National Forest Office,0,1428,10,28,9071,7643,Unknown,Unknown
9k trail,5.7,INTERMEDIATE,"Park City, UT",0.840517241,5,Mountain Trails Foundation,908,527,5,20,9425,8960,Off-leash,Not Allowed
deer camp,1.3,INTERMEDIATE,"Park City, UT",0.839439655,5,,167,119,4,20,8989,8822,Unknown,Unknown
anticline access,0.5,INTERMEDIATE/DIFFICULT,"Hurricane, UT",0.838362069,5,,2,103,4,11,3075,2972,Unknown,Unknown
the farm - green trail,1.4,INTERMEDIATE,"Farmington, UT",0.837284483,5,,201,198,5,14,4760,4558,Unknown,Allowed
hardlick,0.8,DIFFICULT,"Herriman, UT",0.836206897,5,"Herriman City, UT - Trails",1,403,9,24,6219,5817,Unknown,Unknown
borderline,1.7,INTERMEDIATE,"Moab, UT",0.83512931,3.4,Moab Trail Mix,378,8,4,14,4747,4377,Leashed,Not Allowed
highlands trail,1.6,INTERMEDIATE,"Cedar City, UT",0.834051724,4.6,,9,266,3,9,7194,6937,Off-leash,Unknown
retail sale,6.2,INTERMEDIATE/DIFFICULT,"Maeser, UT",0.832974138,4.3,BLM Utah - Vernal Office,523,383,3,12,5353,5084,Off-leash,Unknown
vertigo,1,INTERMEDIATE/DIFFICULT,"Moab, UT",0.831896552,3.9,Moab Trail Mix,64,170,4,12,4610,4464,Leashed,Unknown
yellow trail,0.6,DIFFICULT,"Hurricane, UT",0.830818966,4.5,Trail Alliance of Southern Utah (TASU),21,44,2,8,5395,5359,Unknown,Unknown
dunestone,1.6,INTERMEDIATE,"Moab, UT",0.829741379,4,Moab Trail Mix,189,64,3,10,4572,4388,Leashed,Not Allowed
moose puddle,3.3,INTERMEDIATE/DIFFICULT,"Snyderville, UT",0.828663793,4.8,Mountain Trails Foundation,18,1053,6,16,8035,7001,Leashed,Unknown
flying monkey trail,1.5,VERY DIFFICULT,"Toquerville, UT",0.827586207,4.6,,0,1024,13,40,4885,3861,Unknown,Unknown
little canyon,2.6,INTERMEDIATE,"Moab, UT",0.826508621,3.9,Moab Trail Mix,95,321,3,8,4906,4654,Leashed,Not Allowed
jurassic,3,EASY,"Moab, UT",0.825431034,3.7,,168,114,2,7,4683,4602,Leashed,Not Allowed
quail overlook,1.5,INTERMEDIATE/DIFFICULT,"Hurricane, UT",0.824353448,4.8,,199,111,4,13,3082,2887,Unknown,Unknown
wahoo,1.6,INTERMEDIATE,"Moab, UT",0.823275862,4,Moab Trail Mix,206,210,5,10,4807,4598,Leashed,Not Allowed
precipice,0.9,INTERMEDIATE,"Santa Clara, UT",0.822198276,4.3,Trail Alliance of Southern Utah (TASU),148,9,3,15,3294,3148,Unknown,Unknown
outer limits,0.5,EASY/INTERMEDIATE,"Enoch, UT",0.82112069,4.8,Trail Alliance of Southern Utah (TASU),6,32,2,4,5848,5816,Unknown,Unknown
sweet pea,0.3,EASY/INTERMEDIATE,"Enoch, UT",0.820043103,4.8,Trail Alliance of Southern Utah (TASU),2,22,1,4,5888,5866,Unknown,Unknown
cryptobionic,3.3,INTERMEDIATE,"LaVerkin, UT",0.818965517,4.1,,279,26,2,9,3919,3667,Unknown,Unknown
ant farm,0.5,INTERMEDIATE,"Summit Park, UT",0.817887931,4.5,,0,200,7,14,6733,6532,Unknown,Unknown
wild rose lower downhill,0.3,DIFFICULT,"North Salt Lake, UT",0.816810345,4.4,"City of North Salt Lake, UT - Parks and Recreation",0,144,10,14,5416,5272,Unknown,Unknown
three falls trail,2.7,INTERMEDIATE,"Alpine, UT",0.815732759,4.6,,145,591,5,16,6261,5696,Unknown,Allowed
salt on the rim,1,DIFFICULT,"Springdale, UT",0.814655172,4.4,Trail Alliance of Southern Utah (TASU),120,74,4,13,4602,4522,Off-leash,Unknown
phosphate,3.7,INTERMEDIATE,"Midway, UT",0.813577586,4.6,Utah State Parks,585,486,5,19,6769,6241,Unknown,Allowed
stucki springs trail,5.9,INTERMEDIATE,"Santa Clara, UT",0.8125,3.9,Trail Alliance of Southern Utah (TASU),503,330,3,8,3343,2847,Unknown,Unknown
shortcut (sunnyside),0.4,INTERMEDIATE,"Enoch, UT",0.811422414,4.6,Trail Alliance of Southern Utah (TASU),51,4,2,8,6029,5978,Unknown,Unknown
warner lake trail,2.2,DIFFICULT,"Moab, UT",0.810344828,4.7,Moab Trail Mix,180,463,6,18,9627,9319,Leashed,Not Allowed
split rock loop,5.1,INTERMEDIATE/DIFFICULT,"Syracuse, UT",0.809267241,4.7,Utah State Parks,745,754,6,48,4866,4252,Unknown,Allowed
prospector trail,2.2,INTERMEDIATE,"Midway, UT",0.808189655,4.7,Utah State Parks,161,239,3,8,6342,6195,Unknown,Allowed
south fork of little deer creek trail #252,3.7,INTERMEDIATE,"Cedar Hills, UT",0.807112069,4.7,,617,597,6,20,8073,7477,Unknown,Allowed
apex trail,1.6,INTERMEDIATE,"Park City, UT",0.806034483,4.7,,0,526,6,33,9299,8773,Unknown,Unknown
eagle rise main loop,2.2,EASY/INTERMEDIATE,"Brigham City, UT",0.804956897,4.5,Brigham City - Parks Division,288,193,4,17,5463,5175,Unknown,Unknown
right fork bunker creek trail,2.9,DIFFICULT,"Parowan, UT",0.80387931,4.7,,0,1362,9,26,10517,9155,Unknown,Unknown
trail of endor,0.9,INTERMEDIATE/DIFFICULT,"Junction, UT",0.802801724,4.7,Eagle Point Ski Resort,126,317,9,21,10537,10219,Off-leash,Unknown
clark's trail,1.3,INTERMEDIATE,"Draper, UT",0.801724138,3.9,,606,0,9,14,5793,5187,Unknown,Allowed
ogden bst - 22nd to waterfall,2.3,INTERMEDIATE,"Ogden, UT",0.800646552,3.9,,687,282,8,46,5254,4849,Unknown,Unknown
bennie creek trail #071,4.3,DIFFICULT,"Woodland Hills, UT",0.799568966,4.5,,1142,1441,11,42,7770,6330,Unknown,Unknown
